"id";"NB";"COUT";"ANNEE"
118709;1;20,18;2016
118750;1;731,61;2018
119384;1;8317,18;2018
119553;1;1284,09;2018
119567;1;24,52;2017
120036;1;24,35;2018
120111;1;5689,99;2017
120214;1;263,02;2017
120761;1;681,7;2018
120847;1;281,46;2016
120871;1;25,22;2016
121193;1;24,21;2016
121228;1;116,66;2018
121302;1;1462,06;2018
121329;1;3869,01;2017
121390;1;117,99;2016
121716;1;206,4;2016
122191;1;3749,77;2017
122211;1;893,82;2016
122317;1;250,1;2016
122670;1;24,52;2017
122809;1;183,41;2018
123228;1;420,25;2017
123504;1;86,23;2018
123896;1;302,24;2016
123943;1;57,51;2017
124291;1;105,92;2016
124370;1;679,44;2018
124517;1;695,16;2017
124699;1;385,28;2016
124922;1;288,15;2017
125129;1;355,39;2017
125266;1;893,44;2016
125564;1;285,7;2017
125925;1;269,76;2017
126055;1;337,53;2017
126076;1;1618,05;2016
126120;1;370,2;2017
126139;1;5976,02;2018
126171;1;2050,93;2017
126567;1;7333,06;2017
126611;1;598,84;2018
126693;1;400,46;2016
126701;1;1705,68;2018
127136;1;1447,42;2018
127276;1;3539,91;2016
127555;1;21,27;2016
128183;1;509,86;2018
128206;1;198,95;2016
128538;1;1277,15;2017
128540;1;1384,08;2016
128936;1;358,55;2016
129012;2;554,24;2016
129137;1;893,4;2017
129378;1;292,16;2018
129674;2;2617,19;2016
129770;1;320,62;2016
129992;1;1547,81;2018
130181;1;499,21;2018
130421;1;66,01;2016
130517;1;301,63;2016
130574;1;892,54;2018
130615;1;268,74;2017
130913;1;474,43;2018
131001;1;4510,48;2018
131637;1;136,19;2016
131789;1;844,46;2017
131904;1;219,12;2018
132126;1;208,04;2018
132211;1;98,78;2016
132291;1;996,27;2017
132445;1;2129,61;2018
132573;1;1034,04;2017
132639;1;155,68;2016
132914;1;2336,07;2017
132950;1;173,38;2018
133289;1;1648,45;2016
133840;1;6308,28;2017
133978;1;262,83;2016
134454;1;233,4;2018
134519;1;1014,1;2018
134804;1;1578,87;2018
134835;1;1966,71;2016
134875;1;131,87;2018
135044;1;2569,25;2016
135089;1;1454,1;2016
135095;1;543,13;2018
135192;1;1230,68;2017
135234;1;4646,53;2016
135529;1;2477,36;2017
135732;1;1143,47;2018
135842;1;576,2;2018
135974;1;24,35;2018
136091;1;2342,14;2018
136357;1;1133,36;2017
136367;1;812,67;2017
136479;1;75,66;2016
136550;1;409,59;2018
136841;1;1774,49;2016
136967;1;1045,73;2017
137011;1;444,39;2017
137477;1;3002,48;2017
137665;1;93,73;2018
137844;1;382,94;2016
138020;1;1171,68;2018
138115;1;8741,8;2018
138739;1;224,65;2017
138990;1;24,52;2017
139119;1;306,68;2016
139527;1;199,64;2016
139590;1;975,44;2017
140112;1;65,71;2018
140332;1;148,49;2017
140421;1;1369,88;2016
140524;1;1180,31;2017
140842;1;10660,79;2018
140941;1;2002,88;2018
141202;1;1116,67;2016
141209;1;405,86;2018
141260;1;492,9;2016
141345;1;1269,02;2018
141433;1;1778,26;2016
141732;1;460,57;2017
141937;1;91,96;2017
141946;1;195,19;2016
141993;1;59,99;2017
142183;1;202,73;2017
142253;1;21466,47;2018
142490;1;2525,88;2018
142549;1;121,48;2018
142828;1;86,85;2017
142889;1;83,05;2017
142901;1;1980,91;2018
143857;1;6565,53;2016
143982;1;861,19;2017
144437;1;6483,18;2016
144862;1;1967,99;2016
145089;1;86,23;2018
145123;1;1609,87;2017
145222;1;1256,08;2016
145276;1;363,77;2017
145607;1;353,55;2017
145762;1;204,19;2018
146000;1;34,82;2018
146161;1;1377,07;2017
146670;1;669,33;2017
146782;1;235,35;2017
146840;1;180,86;2017
147286;1;1479,88;2017
147488;1;536,56;2016
148203;1;684,98;2016
148359;1;77,53;2016
148360;1;3496,71;2018
148796;2;2463,15;2017
148799;1;661,3;2016
148855;1;153,27;2017
149036;1;3116,87;2017
149048;1;2822,17;2018
149090;1;355,05;2018
149094;1;286,44;2017
149096;1;386,04;2017
149121;1;983,59;2016
149268;1;143,97;2017
149422;1;1158,58;2018
149429;1;484,75;2017
150094;1;455,5;2016
150100;1;66,07;2016
150163;1;1513,21;2016
150333;1;24,21;2016
150379;1;321,87;2017
150455;1;335,56;2017
151090;1;4473,12;2017
151099;1;846,66;2018
151149;1;585,31;2016
151304;1;1270,86;2016
151313;1;293,56;2016
151317;1;895,82;2016
151472;1;582,21;2018
151503;1;2136,93;2018
151660;1;1296,21;2018
151755;1;204,69;2017
151870;1;8294,22;2016
152531;1;235,35;2017
152749;1;1713,55;2017
152928;1;20,05;2016
152936;1;210,78;2017
153041;2;1123,81;2016
153459;2;1466,61;2016
153796;1;237,96;2016
153869;1;592,98;2017
153940;1;164,1;2018
154065;1;2834,64;2016
154092;1;152,17;2018
154166;1;54,57;2017
154892;1;684,98;2016
155182;1;1744,23;2016
155422;1;379,4;2018
155793;1;192,52;2018
155819;1;87,28;2017
156050;1;91,96;2017
156167;1;412,6;2016
156786;2;818,41;2018
156836;1;1639,31;2016
157113;1;295,69;2018
157279;1;383,18;2017
157631;1;30,26;2016
158428;1;702,03;2018
158440;1;437,75;2017
158511;1;84,54;2016
158728;1;209,08;2018
159183;1;1986,24;2016
159225;1;684,75;2018
159373;1;54,78;2016
159392;1;11862,43;2018
159523;1;203,66;2018
159602;1;1883,05;2016
159605;1;2882,12;2016
159633;1;475,47;2017
159681;1;24,35;2018
160369;1;188;2018
160531;1;47,43;2016
160578;1;24,21;2016
160695;1;1138,94;2016
160775;1;553,84;2016
160965;1;2968,96;2018
161017;1;411,1;2017
161040;1;54,48;2016
161330;1;1983,32;2016
161607;2;244,54;2017
161721;1;225,81;2018
162072;1;25,36;2018
162441;1;75,84;2018
162503;1;2564,09;2017
162510;1;424,95;2016
